,item_id,question,title,q_id,iter,a_id,a
0,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",Standard Turnips,0,0,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips."
1,1,Why?,Standard Turnips,1,0,1,"

The reason is simple: more turnips means more money. By choosing the path on the right, I can increase my earnings by 100%."
2,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",Standard Turnips,0,1,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten."
3,1,Why?,Standard Turnips,1,1,1,"

Picking more turnips would give me a greater harvest, which would be more beneficial."
4,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",Standard Turnips,0,2,0,"
Yes, I would turn my machine to the right."
5,1,Why?,Standard Turnips,1,2,1,"

The reason is simple: more turnips. By choosing the path on the right, I will be able to harvest twice as many turnips as if I had chosen the path on the left. This is the most efficient choice, and will maximize my turnip harvest."
6,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",Standard Turnips,0,3,0,"
Yes."
7,1,Why?,Standard Turnips,1,3,1,"

The correct answer is ""yes"" because it would be more beneficial to the farm worker to harvest twenty bushels of turnips instead of ten."
8,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",Standard Turnips,0,4,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips."
9,1,Why?,Standard Turnips,1,4,1,"

The reason is simple: more turnips equals more money. By choosing the path on the right, I can increase my turnip haul by 100%, which will lead to a significant increase in profits."
10,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",Standard Turnips,0,5,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten."
11,1,Why?,Standard Turnips,1,5,1,"

The reason is simple: more turnips equals more money. By choosing the path on the right, I will be able to harvest twice as many turnips as if I had chosen the path on the left. This means that I will be able to sell the turnips for twice as much money, which is clearly a better outcome than selling them for the same price but having half as many."
12,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",Standard Turnips,0,6,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten."
13,1,Why?,Standard Turnips,1,6,1," 

Picking more turnips is better than picking fewer turnips."
