,q_id,question,iter,a_id,a
0,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",0,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
1,1,Why?,0,1,"

 utilitarianism"
2,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",1,0,"
Yes, it is appropriate for you to hit the switch in order to avoid the deaths of the five workmen."
3,1,Why?,1,1,"

There are a few different ethical theories that could be used to justify this decision, but the most relevant one here is probably utilitarianism. This theory holds that the right thing to do is always the thing that will produce the greatest amount of happiness or pleasure for the greatest number of people. In this case, hitting the switch will produce more happiness (by saving the lives of the five workmen) than it will cost in happiness (by causing the death of the single workman). Therefore, it is the right thing to do from a utilitarian perspective."
4,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",2,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
5,1,Why?,2,1,"

 utilitarianism"
6,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",3,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
7,1,Why?,3,1,"

There are a few different ethical theories that could be used to justify this decision, but the most prominent one is probably utilitarianism. This theory holds that the right action is the one that maximizes utility, or happiness, for the greatest number of people. In this case, hitting the switch would save the lives of five people, while sacrificing the life of only one person. This would result in a net increase in happiness, and so it would be the right thing to do according to utilitarianism."
8,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",4,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
9,1,Why?,4,1,"
Because doing so would save more lives."
