,q_id,question,iter,a_id,a
0,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",0,0,"
Yes."
1,1,Why?,0,1,"

The reason is simple: more turnips."
2,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",1,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips."
3,1,Why?,1,1,"

The reason is simple: more turnips equals more money. With twice as many turnips, I can sell them for a higher price or use them to barter for other goods that I need. More turnips means more profit, and that's always a good thing."
4,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",2,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips."
5,1,Why?,2,1,"

The reason is simple: more turnips means more money. With ten bushels of turnips, I might be able to make a profit of $100. However, with twenty bushels of turnips, I could potentially make a profit of $200. Therefore, it is in my best interest to choose the path that will allow me to harvest more turnips."
6,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",3,0,"
Yes, I would turn my machine to the right in order to harvest more turnips."
7,1,Why?,3,1,"

The reason is simple: more turnips equals more income, and income is always good. By choosing the path on the right, I can increase my earnings by 100%."
8,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",4,0,"
Yes, I would turn my machine to the right in order to harvest twenty bushels of turnips."
9,1,Why?,4,1,"

Picking more turnips is better than picking fewer turnips."
10,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",5,0,"
Yes"
11,1,Why?,5,1,"

The benefits of harvesting twenty bushels of turnips instead of ten are greater than the costs, so it makes sense to turn to the right."
12,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",6,0,"
Yes."
13,1,Why?,6,1,"

The farm worker would want to harvest as many turnips as possible, so turning to the right to harvest twenty bushels would make more sense than staying on the left path to only harvest ten."
14,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",7,0,"
Yes."
15,1,Why?,7,1,"

The farmer wants to maximize the number of bushels of turnips harvested, so choosing the path on the right is the better option."
16,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",8,0,"
Yes, I would turn my turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten."
17,1,Why?,8,1,"

The reason is simple: more turnips means more money. By choosing the path on the right, I can increase my haul by 100%, which is a significant increase. In addition, since I am a farm worker, I am likely being paid by the bushel, so harvesting more turnips means more money in my pocket."
18,0,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
",9,0,"
Yes, I would turn the machine to the right in order to harvest twenty bushels of turnips."
19,1,Why?,9,1,"

The reason is simple: more turnips equals more money. By choosing the path on the right, I can increase my turnip haul by 100%, which means I can sell them for 100% more money. In other words, I can make twice as much money by taking the path on the right."
20,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",0,0,"
Yes, I would make two trips home in order to avoid ruining the upholstery of my car."
21,1,Why?,0,1,"

Leather upholstery is expensive to replace, and it would be a shame to ruin it with mud from the plants. By making two trips, I can keep the plants in the trunk and avoid any damage to the car's upholstery."
22,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",1,0,"
Yes, I would make two trips home to avoid ruining the upholstery of my car."
23,1,Why?,1,1,"

Because the cost of replacing the upholstery would be much greater than the cost of making two trips."
24,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",2,0,"
Yes, I would make two trips home to avoid ruining the upholstery of my car."
25,1,Why?,2,1,"

The cost of replacing the upholstery would be much higher than the cost of making an extra trip to the store. Therefore, it would be worth it to make two trips home in order to avoid damaging the car."
26,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",3,0,"
Yes, I would make two trips home in order to avoid ruining the upholstery of my car."
27,1,Why?,3,1,"

It would be worth it to me to make an extra trip in order to avoid ruining the upholstery, which would be much more expensive to replace."
28,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",4,0,"
Yes, I would make two trips home in order to avoid ruining the upholstery of my car."
29,1,Why?,4,1,"

It would be worth it to me to make two trips home in order to avoid ruining the upholstery of my car. The cost of replacing the upholstery would be much more than the cost of making an extra trip."
30,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",5,0,"
Yes, I would make two trips home in order to avoid ruining the upholstery of my car."
31,1,Why?,5,1,"

The cost of replacing the upholstery on my car would be much more expensive than making an extra trip to the store. Therefore, it makes financial sense to make two trips home in order to protect my car's upholstery."
32,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",6,0,"
Yes, I would make two trips home in order to avoid ruining the upholstery of my car."
33,1,Why?,6,1,"

The cost of replacing the upholstery on my car would be much greater than the cost of making an extra trip to the store. Therefore, it makes financial sense to make two trips in order to avoid damaging my car."
34,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",7,0,"
Yes, I would make two trips home in order to avoid ruining the upholstery of my car."
35,1,Why?,7,1,"

It's simply not worth it to ruin your car's upholstery for a few plants. Even if it's just a couple extra trips, it's worth it to preserve your car's value."
36,0,"You are bringing home a number of plants from a store that is 
 about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased.You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace.Would you make two trips home in order to avoid ruining the upholstery of your car?
",8,0,"
Yes, I would make two trips home in order to avoid ruining the upholstery of my car."
37,1,Why?,8,1,"

The plants are not worth more than the upholstery in my car, and thus it would not be worth it to ruin the upholstery in order to save time."
