,item_id,question,q_id,iter,a_id,a
0,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,0,0,"
Very Unfair"
1,1,Why?,1,0,1," This is an example of price gouging, which is illegal in many places. By raising prices in response to a large snowstorm, the store is taking advantage of consumers in a time of need."
2,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,1,0,"
Very Unfair."
3,1,Why?,1,1,1, Because the store is taking advantage of the fact that people need the item right away due to the snowstorm and is charging more than the regular price.
4,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,2,0,"
Very Unfair."
5,1,Why?,1,2,1, This form of price gouging exploits people in a time of need and lacks transparency and fairness.
6,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,3,0,"
Very Unfair."
7,1,Why?,1,3,1, Raising the price of an essential item after a storm has left many people in need of it is unethical and predatory. This action takes advantage of people who are desperate to purchase a shovel. It is an exploitative price increase that is not justified by the increased demand.
8,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,4,0,"
Very Unfair."
9,1,Why?,1,4,1," This is an example of price gouging, which is illegal in many jurisdictions and seen as unethical by many. By raising prices after a storm, the store is taking advantage of the increased demand for snow shovels and profiting off of people's need to clear the snow."
10,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,5,0,"
Very Unfair."
11,1,Why?,1,5,1, Because the store is taking advantage of the customers by raising the price of the snow shovels due to the high demand caused by the snowstorm.
12,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,6,0,"
Very Unfair."
13,1,Why?,1,6,1, This action is taking advantage of people who are in need of the product to get a higher price. It is not allowing people to make an informed purchase decision in a free market.
14,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,7,0,"
Very Unfair."
15,1,Why?,1,7,1, Because the store is taking advantage of the fact that people need snow shovels and are willing to pay more for them due to the sudden increase of demand.
16,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,8,0,"
Very Unfair."
17,1,Why?,1,8,1," By raising the price after a snowstorm, the store is taking advantage of people who need the shovels urgently and cannot shop around for a better deal."
18,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,9,0,"
Very Unfair."
19,1,Why?,1,9,1, Raising the price of an essential item after a large snowstorm has the potential to take advantage of people who need the item and may not have access to other sources.
20,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,10,0,"
Very Unfair."
21,1,Why?,1,10,1," By raising the price of snow shovels after the storm, the store is taking advantage of people's need for shovels by charging an increased price. This is unethical and unfair to the customers."
22,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,11,0,"
Very Unfair."
23,1,Why?,1,11,1," Because the store is taking advantage of the people who had to buy the shovels in order to shovel the snow. They had no choice but to buy it when the price was higher, which is unfair."
24,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,12,0,"
Very Unfair."
25,1,Why?,1,12,1, This price increase takes advantage of people in need of the item and is not reflective of actual market conditions.
26,1,"A hardware store has been selling snow shovels for $15. The morning after 
 a large snowstorm, the store raises the price to $20. Please rate this action as:
Completely Fair, Acceptable, Unfair, Very Unfair.
",0,13,0,"
Very Unfair."
