,Unnamed: 0,Unnamed: 0.1,title,a0,a1,q0,q1,source,sub_id,cond,val,index
0,0,0,Computer,yes,because otherwise you'd be paying 500 for using a new item for several weeks,You are looking to buy a new computer. At the moment the computer  that you want costs $1000. A friend who knows the computer industry has told you that this computer's price will drop to $500 next month. If you wait until next month to buy your new computer you will have to use your old computer for a few weeks longer than you would like to. Nevertheless you will be able to do everything you need to do using your old computer during that time. Would you use your old computer for a few more weeks in order to save $500 on the purchase of a new computer?,Why?,Human,613480877420e274a0dd9779,non_moral,yes,0
1,1,1,Reversed Turnips,no,"the left side seems the better option, but i don't know much about farming. ",You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty?,Why?,Human,6294bad868788e1f03d52c6c,non_moral,no,1
2,2,2,Sacrifice,no,"i would instead try to reason with the clan leader, i wouldn't be able to continue on with my life knowing i had killed my son. ","You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clan's sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?",Why?,Human,6294bad868788e1f03d52c6c,personal_moral,no,2
3,3,3,Crying Baby,yes,because it is either the baby or everyone of us who are hiding including the baby. either way the baby dies.,"Enemy soldiers have taken over your village. They have orders to kill all  remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople?",Why?,Human,5b258c9ba7cee100011d8aad,personal_moral,yes,3
4,4,4,Standard Fumes,yes,"  the utilitarian approach would argue that the greatest good for the greatest number should be the guiding principle in this situation. since hitting the switch will save the lives of three patients while only causing the death of one, it is the morally correct course of action.","You are the late-night watchman in a hospital. Due to an accident in   the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients? ",Why?,AI,27.0,impersonal_moral,yes,4
5,5,5,Infanticide,no,i am a fifteen year old girl who is not yet adult enough to make these decisions and the fact i haven't told anyone about the pregnancy suggests i am not ready to deal with a baby. it would be better if i had told someone and passed the baby to them so it was definitely safe. ,"You are a fifteen year-old girl who has become pregnant. By wearing loose  clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess you've made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life?",Why?,Human,601c2a9251c0bc6ca76c8d75,personal_moral,no,5
6,6,6,Vaccine Test,yes,because it would save the majority of people,"A viral epidemic has spread across the globe killing millions of people. You  have developed two substances in your home laboratory. You know that one of them is a vaccine, but you don't know which one. You also know that the other one is deadly. Once you figure out which substance is the vaccine you can use it to save millions of lives. You have with you two people who areunder your care, and the only way to identify the vaccine is to inject each of these people with one of the two substances. One person will live, the other will die, and you will be able to start saving lives with your vaccine. Is it appropriate for you to kill one of these people with a deadly injection in order to identify a vaccine that will save millions of lives?",Why?,Human,637ef49d54038582f78ff288,personal_moral,yes,6
7,7,7,Three-for-Seven Fumes,no,i would not intervene if it meant causing more people to die,"You are the late-night watchman in a hospital. Due to an accident in  the building next door, there are deadly fumes rising up through the hospital's ventilation system. In a certain room of the hospital are three patients. In another room there are seven patients. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to save these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three people. As a result of doing this the fumes will enter the room containing the seven patients, causing their deaths. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?",Why?,Human,5bec8053b6b5ab00017c7349,impersonal_moral,no,7
8,8,8,New Job,no,"  the difference in salary between the two firms is significant, and two extra days of vacation per year is not likely to make up for that difference. in addition, firm A's offer of 14 days of vacation per year is still a generous amount, and it is unlikely that taking two extra days of vacation per year would make a significant difference in your overall enjoyment of the job.","You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ",Why?,AI,10.0,non_moral,no,8
9,9,9,Resume,yes,everybody does this. if they say not. they're lying.,"You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?",Why?,Human,60990cfc7441dc3e4c3e071a,impersonal_moral,yes,9
