Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63cd6670c2e26ed7fbc222b5,5ee3f235c53c280e4261bcc3,APPROVED,2023-01-22T16:38:13.741000Z,2023-01-22T17:27:50.159000Z,2023-01-24T10:02:21.293000,2023-01-22T17:27:50.598422Z,2977,C8CDCVNZ,65,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63cd6679e1e02d4990e4ea68,637ef49d54038582f78ff288,APPROVED,2023-01-22T16:38:17.475000Z,2023-01-22T18:03:22.210000Z,2023-01-24T10:02:21.404000,2023-01-22T18:03:22.557719Z,5105,C8CDCVNZ,81,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
63cd6732b9d36fb55ad79cfb,62d7ff5d3dc7c359cb3fa1ab,APPROVED,2023-01-22T16:42:59.859000Z,2023-01-22T18:04:48.585000Z,2023-01-24T10:02:26.311000,2023-01-22T18:04:49.177403Z,4909,C8CDCVNZ,96,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63cd7d038139e49f64a3394b,60fd310fff5b2600c9d95554,APPROVED,2023-01-22T18:14:34.623000Z,2023-01-22T20:03:19.115000Z,2023-01-24T10:02:26.418000,2023-01-22T20:03:19.495622Z,6525,C8CDCVNZ,393,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63cd7d047b42686750635f52,62fb79e7c968f4fc555d1e2f,APPROVED,2023-01-22T18:14:30.991000Z,2023-01-22T19:16:20.605000Z,2023-01-24T10:02:21.505000,2023-01-22T19:16:20.998037Z,3710,C8CDCVNZ,289,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63cd7d050e9356db099877cb,6294bad868788e1f03d52c6c,APPROVED,2023-01-22T18:15:02.549000Z,2023-01-22T20:12:03.221000Z,2023-01-24T10:02:21.614000,2023-01-22T20:12:03.646876Z,7021,C8CDCVNZ,292,"Urdu, English",31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63cd7d0606e8665f0da33998,5c366fc38821900001b38b67,RETURNED,2023-01-22T18:14:36.628000Z,2023-01-22T18:15:22.702000Z,,2023-01-22T18:15:23.049000Z,,C8CDCVNZ,1453,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63cd7d062ee9f3a573ae1fd3,5d6e570e8c129300166dba20,APPROVED,2023-01-22T18:15:30.238000Z,2023-01-22T19:50:58.544000Z,2023-01-24T10:02:26.517000,2023-01-22T19:50:59.543052Z,5729,C8CDCVNZ,234,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63cd7dd77279872e848e04be,60d8f98d9d58bf54aeb8438a,APPROVED,2023-01-22T18:22:02.340000Z,2023-01-22T19:19:54.510000Z,2023-01-24T10:02:26.620000,2023-01-22T19:19:54.949636Z,3473,C8CDCVNZ,51,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63cd90634d45ec66d95b291b,638070625c26e262f2163254,APPROVED,2023-01-22T19:37:58.536000Z,2023-01-22T20:43:58.358000Z,2023-01-24T10:02:21.717000,2023-01-22T20:43:58.757494Z,3960,C8CDCVNZ,108,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63cd95c46e02e98b81c080c6,5b421b9ac2e3810001763252,APPROVED,2023-01-22T20:00:19.396000Z,2023-01-22T21:44:04.897000Z,2023-01-24T10:02:26.721000,2023-01-22T21:44:06.277380Z,6226,C8CDCVNZ,1672,English,35,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
