Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
647626c731063637c4865832,6165fb4c20c37191a58b675f,AWAITING REVIEW,2023-05-30T16:39:44.362000Z,2023-05-30T17:07:35.682000Z,,2023-05-30T17:07:36.153213Z,1672,C8CDCVNZ,675,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647626fb573e8bb4720ee879,56bc48c70b36c4000c4ddf80,APPROVED,2023-05-30T16:40:30.819000Z,2023-05-30T17:06:18.432000Z,2023-06-02T16:13:58.972000,2023-05-30T17:06:19.255000Z,1548,C8CDCVNZ,1186,English,54,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647627142b549bcc3297d008,61544db8ef54345093239d29,APPROVED,2023-05-30T16:40:54.991000Z,2023-05-30T17:51:09.109000Z,2023-06-02T16:13:59.200000,2023-05-30T17:51:09.554130Z,4215,C8CDCVNZ,359,"English, French, German, Italian, Spanish",27,Female,White,Italy,United Kingdom,Italy,Italian,No,Other
64762714acc849ca922b95ef,60e70621e54d41df0e70bfcd,APPROVED,2023-05-30T16:40:56.789000Z,2023-05-30T17:06:38.123000Z,2023-06-02T16:13:59.398000,2023-05-30T17:06:39.369283Z,1542,C8CDCVNZ,701,English,54,Female,White,United Kingdom,United States,United States,English,No,Part-Time
64762767ee26dcabd1fb054b,57616681544688000767f23f,APPROVED,2023-05-30T16:42:20.581000Z,2023-05-30T17:12:57.101000Z,2023-06-02T16:13:59.594000,2023-05-30T17:12:57.674229Z,1837,C8CDCVNZ,811,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64762768477cb0a3649241f9,54cc8b23fdf99b28036e2467,APPROVED,2023-05-30T16:42:48.796000Z,2023-05-30T17:00:15.191000Z,2023-06-02T16:13:59.788000,2023-05-30T17:00:16.213410Z,1047,C8CDCVNZ,1106,English,37,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647627734c95e12e78b11c1f,63d1813e5564f9ebff83628a,APPROVED,2023-05-30T16:42:49.025000Z,2023-05-30T17:22:27.622000Z,2023-06-02T16:13:59.968000,2023-05-30T17:22:28.040615Z,2379,C8CDCVNZ,115,English,41,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
647627fa2cf46d9ee5a4b697,5fa40b2f3fbded08ed561c30,APPROVED,2023-05-30T16:44:46.095000Z,2023-05-30T17:17:19.460000Z,2023-06-02T16:14:00.159000,2023-05-30T17:17:19.839776Z,1954,C8CDCVNZ,487,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
647627fa68219b7294cb46dc,5dcc6f91e5e18690a20e74d1,APPROVED,2023-05-30T16:44:42.400000Z,2023-05-30T17:25:44.412000Z,2023-06-02T16:14:00.332000,2023-05-30T17:26:04.461663Z,2463,C8CDCVNZ,336,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647627fd7f16937389f0e683,59c558114374e1000125c522,APPROVED,2023-05-30T16:44:50.424000Z,2023-05-30T17:54:58.280000Z,2023-06-02T16:14:00.504000,2023-05-30T17:54:58.737831Z,4208,C8CDCVNZ,877,English,52,Female,White,New Zealand,United Kingdom,New Zealand,English,No,Part-Time
6476280aed87b4c4d69b862e,5db325a56c8068000db18295,APPROVED,2023-05-30T16:48:26.756000Z,2023-05-30T17:57:53.134000Z,2023-06-02T16:14:03.971000,2023-05-30T17:57:53.857058Z,4167,C8CDCVNZ,520,"Chinese, English, Malay",24,Male,Asian,Malaysia,United Kingdom,Malaysia,Chinese,No,Full-Time
647628367767c95270d513f7,59bef2f33c45a10001ccd1cb,APPROVED,2023-05-30T16:45:46.622000Z,2023-05-30T17:15:29.987000Z,2023-06-02T16:14:04.147000,2023-05-30T17:15:30.398985Z,1784,C8CDCVNZ,664,"English, Polish",43,Male,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
647628bbdb906b025a3fed8e,5f45882f55090e1a65935ffd,APPROVED,2023-05-30T16:47:55.092000Z,2023-05-30T17:56:11.096000Z,2023-06-02T16:14:04.303000,2023-05-30T17:56:11.571062Z,4097,C8CDCVNZ,1135,"English, Hebrew",48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
