Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
646aae47cc848097e655203d,5c3be7b5717bc300010b1bf3,APPROVED,2023-05-21T23:50:33.572000Z,2023-05-22T00:20:12.928000Z,2023-05-30T16:06:33.888000,2023-05-22T00:20:13.348490Z,1780,C8CDCVNZ,448,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
646aaf37e0825dcdd4e74e6f,5df2f36b617219204de98060,APPROVED,2023-05-21T23:54:39.850000Z,2023-05-22T00:12:59.826000Z,2023-05-30T16:06:45.411000,2023-05-22T00:13:00.213820Z,1100,C8CDCVNZ,1404,English,30,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
646aaffa60587d8c33bad04b,6335c7aa782a6330c0f83437,APPROVED,2023-05-21T23:57:51.174000Z,2023-05-22T00:25:34.223000Z,2023-05-30T16:06:45.635000,2023-05-22T00:25:34.643304Z,1664,C8CDCVNZ,618,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
646ab01d3afd829a65945889,60f88d15328d079d8d68fe00,APPROVED,2023-05-21T23:58:26.409000Z,2023-05-22T00:37:58.784000Z,2023-05-30T16:06:45.885000,2023-05-22T00:37:59.208538Z,2373,C8CDCVNZ,681,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ab0870974722e43969c30,615a2169834d0c6f877af1e9,APPROVED,2023-05-22T00:00:09.541000Z,2023-05-22T00:18:09.808000Z,2023-05-30T16:06:46.107000,2023-05-22T00:18:10.270771Z,1081,C8CDCVNZ,203,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ab0ecef3ffd0db8befc5d,5c56550e54f9d30001db7f50,APPROVED,2023-05-22T00:01:52.651000Z,2023-05-22T00:13:59.811000Z,2023-05-30T16:06:46.312000,2023-05-22T00:14:00.254512Z,728,C8CDCVNZ,1282,English,36,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
646ab11cc21884e4e398d7bc,5e8b765e88065404c4d50fe2,APPROVED,2023-05-22T00:02:36.461000Z,2023-05-22T00:50:25.843000Z,2023-05-30T16:06:46.516000,2023-05-22T00:50:26.195211Z,2870,C8CDCVNZ,1026,English,40,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ab1215e6c0e9f89e74e8f,5fb4b543282b20203734ba72,APPROVED,2023-05-22T00:04:19.689000Z,2023-05-22T00:28:14.235000Z,2023-05-30T16:06:46.716000,2023-05-22T00:28:14.770377Z,1435,C8CDCVNZ,807,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ab1650115b64e222edf75,606722d98a9420864ed2f16e,APPROVED,2023-05-22T00:03:49.345000Z,2023-05-22T00:30:48.390000Z,2023-05-30T16:06:46.906000,2023-05-22T00:30:48.801202Z,1620,C8CDCVNZ,67,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
646ab17294774b77b6afc9fc,63ead49206402a08b22f2685,APPROVED,2023-05-22T00:04:05.952000Z,2023-05-22T00:39:40.017000Z,2023-05-30T16:06:47.144000,2023-05-22T00:39:40.444959Z,2135,C8CDCVNZ,103,English,23,Male,White,United States,United States,United States,English,Yes,Part-Time
646ab1740766ac422517addb,5a8e54c9f49c9a0001f3dc3f,APPROVED,2023-05-22T00:04:07.072000Z,2023-05-22T00:30:16.112000Z,2023-05-30T16:06:34.064000,2023-05-22T00:30:16.474874Z,1570,C8CDCVNZ,2840,English,30,Female,White,United States,United States,United States,English,No,Full-Time
