Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64023dbae770e602b87f4444,601732b73bdebe96ac49d4eb,APPROVED,2023-03-03T18:34:37.832000Z,2023-03-03T19:13:13.915000Z,2023-03-09T16:31:33.837000,2023-03-03T19:13:14.429845Z,2317,C8CDCVNZ,544,"English, Chinese",32,Female,Asian,China,United Kingdom,China,Chinese,DATA_EXPIRED,DATA_EXPIRED
64023dfcc4d9e0cefc72998b,63e51bd397b0f5edcbf78895,APPROVED,2023-03-03T18:35:57.227000Z,2023-03-03T19:18:01.936000Z,2023-03-09T16:31:34.008000,2023-03-03T19:18:35.019308Z,2525,C8CDCVNZ,3,"English, Polish",23,Female,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
64023e37e6c16e502fb489d7,5bb3b490763e440001853e4f,APPROVED,2023-03-03T18:36:49.623000Z,2023-03-03T19:06:01.453000Z,2023-03-09T16:31:34.157000,2023-03-03T19:06:15.522910Z,1752,C8CDCVNZ,734,English,DATA_EXPIRED,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64023e3915c4d935e5247205,612b285f53d29d3549618b96,APPROVED,2023-03-03T18:36:48.242000Z,2023-03-03T19:05:17.853000Z,2023-03-09T16:31:34.306000,2023-03-03T19:05:21.858880Z,1710,C8CDCVNZ,616,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64023e4828fa1c8bf54f3ab2,60dca45abca3eb229bafdedf,APPROVED,2023-03-03T18:37:00.520000Z,2023-03-03T19:03:27.308000Z,2023-03-09T16:31:40.887000,2023-03-03T19:03:27.947813Z,1587,C8CDCVNZ,457,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64023ec15ab995d1cab57adc,5c7fe02f3eaee4001614f81a,APPROVED,2023-03-03T18:39:02.394000Z,2023-03-03T19:43:08.752000Z,2023-03-09T16:31:41.024000,2023-03-03T19:43:11.630656Z,3847,C8CDCVNZ,413,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64023ee3f7128a3f03230c96,6005f8260fead291c70fc06e,APPROVED,2023-03-03T18:39:31.429000Z,2023-03-03T19:07:06.580000Z,2023-03-09T16:31:41.167000,2023-03-03T19:07:07.027940Z,1656,C8CDCVNZ,637,English,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
640254b2d9950fdf017f4424,58aca85e0da7f10001de92d4,APPROVED,2023-03-03T20:13:21.191000Z,2023-03-03T20:49:08.839000Z,2023-03-09T16:31:41.301000,2023-03-03T20:49:09.458052Z,2148,C8CDCVNZ,239,"Arabic, English",34,Male,White,United States,United Kingdom,United States,English,Yes,Full-Time
6404f5af270abba27e1bfa7e,63dc3daf33ede5b0c14e397e,APPROVED,2023-03-05T20:04:05.801000Z,2023-03-05T20:25:10.118000Z,2023-03-09T16:31:34.461000,2023-03-05T20:25:10.481462Z,1265,C8CDCVNZ,2,"Dutch, English",30,Female,White,Netherlands,United Kingdom,Netherlands,Dutch,No,Full-Time
6404f612c81bfc72c40dff0f,5d3e47ba29130a00015cd41d,APPROVED,2023-03-05T20:05:38.489000Z,2023-03-05T20:36:09.658000Z,2023-03-09T16:31:34.976000,2023-03-05T20:36:10.124635Z,1832,C8CDCVNZ,260,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6404f61bbc0e11e08721eee3,60862180ae6dd1347accd98b,APPROVED,2023-03-05T20:05:47.047000Z,2023-03-05T20:29:54.759000Z,2023-03-09T16:31:41.838000,2023-03-05T20:29:55.159094Z,1448,C8CDCVNZ,292,"English, Urdu",24,Male,Asian,United Arab Emirates,United Kingdom,Canada,Urdu,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6404f6921fcf1aa93766e03d,61bb372340db417c1a1389c6,APPROVED,2023-03-05T20:07:49.183000Z,2023-03-05T20:31:00.185000Z,2023-03-09T16:31:41.993000,2023-03-05T20:31:00.723461Z,1392,C8CDCVNZ,610,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6404f6bf6dd7dde02ca5eb56,63fb8d0d8736cf01d94cb230,APPROVED,2023-03-05T20:09:46.746000Z,2023-03-05T20:50:14.548000Z,2023-03-09T16:31:42.144000,2023-03-05T20:50:14.965367Z,2428,C8CDCVNZ,1,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6404f6c5c0944384622556e0,62cbebd0b3641f4745d7c863,APPROVED,2023-03-05T20:08:41.024000Z,2023-03-05T20:36:33.329000Z,2023-03-09T16:31:42.295000,2023-03-05T20:36:33.741393Z,1673,C8CDCVNZ,308,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6404f6cee3df412edb205ba5,5fc6a6691dd15336fcc81742,APPROVED,2023-03-05T20:09:00.144000Z,2023-03-05T20:45:12.253000Z,2023-03-09T16:31:35.132000,2023-03-05T20:45:12.693134Z,2173,C8CDCVNZ,134,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6404f6d763adb056fd6ea462,603a9ef328fe2f6cb2fd35d7,APPROVED,2023-03-05T20:08:58.467000Z,2023-03-05T20:24:56.079000Z,2023-03-09T16:31:35.290000,2023-03-05T20:24:57.573613Z,958,C8CDCVNZ,161,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6404f6e7c510e8080a7f446f,5d879c06e645c60019847113,APPROVED,2023-03-05T20:18:30.307000Z,2023-03-05T21:01:19.113000Z,2023-03-09T16:31:35.435000,2023-03-05T21:01:19.571783Z,2569,C8CDCVNZ,467,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
