Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63ea744f2ab907c50b4806a3,5733da44b0b6ee0f142f8332,APPROVED,2023-02-13T17:33:05.535000Z,2023-02-13T18:01:39.694000Z,2023-02-22T12:56:43.204000,2023-02-13T18:01:40.082247Z,1715,C8CDCVNZ,291,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63ea74b5057094ce57bea5d5,5c2510f40091e40001c9a24d,APPROVED,2023-02-13T17:34:47.876000Z,2023-02-13T18:22:33.605000Z,2023-02-22T12:56:43.331000,2023-02-13T18:22:35.105717Z,2866,C8CDCVNZ,197,English,30,Female,Black,Ghana,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63ea74db4c166bf3d6229d0f,61003317b16db7021d440807,APPROVED,2023-02-13T17:35:27.344000Z,2023-02-13T18:01:11.682000Z,2023-02-22T12:56:43.455000,2023-02-13T18:01:12.287256Z,1545,C8CDCVNZ,159,English,24,Female,Other,United States,United States,United States,English,No,Full-Time
63ea75bb5e95cfe92bdcf8f5,5b5f5ec19351420001b7d473,APPROVED,2023-02-13T17:39:13.324000Z,2023-02-13T18:30:16.885000Z,2023-02-22T12:56:43.573000,2023-02-13T18:30:17.250669Z,3064,C8CDCVNZ,418,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63ea75ca5975ebfb746e521b,60ae4319bf058958a5dedcc6,APPROVED,2023-02-13T17:39:25.698000Z,2023-02-13T18:21:25.705000Z,2023-02-22T12:56:43.697000,2023-02-13T18:21:26.411374Z,2521,C8CDCVNZ,136,"Greek, English",55,Female,White,Greece,United Kingdom,Greece,Greek,No,Full-Time
63ea762bf69f370db4d00622,5f81d674cbe72b2b246066c1,APPROVED,2023-02-13T17:41:04.823000Z,2023-02-13T18:10:22.023000Z,2023-02-22T12:56:53.249000,2023-02-13T18:10:22.404169Z,1758,C8CDCVNZ,219,"Bulgarian, English",23,Male,White,Bulgaria,United Kingdom,United Kingdom,Bulgarian,No,Part-Time
63ea767a50306ef177a5d834,5f1b84872171f838a8a3cfa9,APPROVED,2023-02-13T17:43:03.566000Z,2023-02-13T18:37:13.015000Z,2023-02-22T12:56:53.386000,2023-02-13T18:37:13.696062Z,3250,C8CDCVNZ,870,English,41,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63ea769eb0c066109b30d360,60e71c7661afbfa3e8ab5c63,APPROVED,2023-02-13T17:42:57.816000Z,2023-02-13T18:17:01.551000Z,2023-02-22T12:56:53.516000,2023-02-13T18:17:01.919989Z,2044,C8CDCVNZ,79,English,24,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63ea76e1ed91394281c8ab5c,63ea627512244090788d46ec,APPROVED,2023-02-13T17:44:09.768000Z,2023-02-13T18:07:28.565000Z,2023-02-22T12:56:53.640000,2023-02-13T18:07:28.995677Z,1399,C8CDCVNZ,0,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ea7812957d81fb986f4bf3,63ea61d8106e3e2dc14c4cc7,APPROVED,2023-02-13T17:49:27.886000Z,2023-02-13T18:16:31.818000Z,2023-02-22T12:56:53.770000,2023-02-13T18:16:32.232242Z,1624,C8CDCVNZ,1,"Spanish, English",21,Male,Other,Peru,United States,Peru,Spanish,No,Unemployed (and job seeking)
63ebf30e024c3028ca2a7c4d,61375004fe13dda230e418bd,APPROVED,2023-02-14T20:46:11.559000Z,2023-02-14T21:09:58.156000Z,2023-02-22T12:56:53.896000,2023-02-14T21:09:59.121062Z,1427,C8CDCVNZ,556,English,25,Male,White,South Africa,United Kingdom,United Kingdom,English,No,Full-Time
63ed06607795881d77353ebb,5e3d857264d5e6000dd34f3e,APPROVED,2023-02-15T16:20:55.709000Z,2023-02-15T16:48:10.988000Z,2023-02-22T12:56:43.810000,2023-02-15T16:48:11.795085Z,1636,C8CDCVNZ,780,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed17f0e79e23986c61b716,5b244233a7cee100011d6924,APPROVED,2023-02-15T17:39:42.336000Z,2023-02-15T18:32:01.445000Z,2023-02-22T12:56:54.026000,2023-02-15T18:32:02.253544Z,3140,C8CDCVNZ,535,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63ed18e4fc906054fce999e4,5f658f418c686c1096675a12,APPROVED,2023-02-15T17:39:51.266000Z,2023-02-15T18:24:39.279000Z,2023-02-22T12:56:54.156000,2023-02-15T18:24:42.110598Z,2689,C8CDCVNZ,1199,English,46,Male,White,United States,United States,United States,English,No,Full-Time
63ed18fa0d43b2d34cf15f5e,59be90270ac77f0001f059e6,APPROVED,2023-02-15T17:40:18.393000Z,2023-02-15T18:42:18.867000Z,2023-02-22T12:56:43.927000,2023-02-15T18:42:19.461902Z,3721,C8CDCVNZ,929,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63ed192bdea8f91565d200c0,6147568a852e8ede83722b7e,APPROVED,2023-02-15T17:42:37.685000Z,2023-02-15T18:12:20.223000Z,2023-02-22T12:56:54.286000,2023-02-15T18:12:20.706977Z,1783,C8CDCVNZ,960,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed1948fe8bddee55a9d74e,627a662e92fcadff0001f864,APPROVED,2023-02-15T17:41:34.974000Z,2023-02-15T18:00:39.321000Z,2023-02-22T12:56:44.050000,2023-02-15T18:00:40.443982Z,1145,C8CDCVNZ,101,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed198b8cb8247eaab99934,5e999e7c295393016b7c2577,APPROVED,2023-02-15T17:42:35.713000Z,2023-02-15T18:16:40.970000Z,2023-02-22T12:56:54.408000,2023-02-15T18:16:41.360765Z,2046,C8CDCVNZ,693,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed19a4243802c22b11e0a5,5c0fc29d4324e80001c957b4,APPROVED,2023-02-15T17:43:20.486000Z,2023-02-15T18:20:34.946000Z,2023-02-22T12:56:44.174000,2023-02-15T18:20:35.413717Z,2235,C8CDCVNZ,36,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
63ed19d1fa82c98fe74bc0f8,5ff309687e067a7e8dd9f56c,APPROVED,2023-02-15T17:43:54.694000Z,2023-02-15T18:26:42.772000Z,2023-02-22T12:56:54.524000,2023-02-15T18:26:43.197086Z,2569,C8CDCVNZ,312,English,67,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63ed19d2f256c135b153fab3,60fa33610e4b25f11babd130,APPROVED,2023-02-15T17:43:50.719000Z,2023-02-15T18:05:54.836000Z,2023-02-22T12:56:44.290000,2023-02-15T18:05:55.253771Z,1325,C8CDCVNZ,304,English,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63ed19ee19b4a4991371507e,5a50e16cf6c5170001947461,APPROVED,2023-02-15T17:44:22.580000Z,2023-02-15T18:20:21.053000Z,2023-02-22T12:56:44.408000,2023-02-15T18:20:21.449097Z,2159,C8CDCVNZ,227,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63ed1a0e6d643ee7150057f4,5d852156e125a10001e35a8d,APPROVED,2023-02-15T17:44:51.481000Z,2023-02-15T18:21:52.345000Z,2023-02-22T12:56:54.640000,2023-02-15T18:21:52.723313Z,2221,C8CDCVNZ,850,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63ed1a4dea55fe1a6a859a03,604e18398d5d8c1c8b03ffcf,APPROVED,2023-02-15T17:45:49.777000Z,2023-02-15T18:13:34.325000Z,2023-02-22T12:56:44.523000,2023-02-15T18:13:34.757567Z,1665,C8CDCVNZ,244,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63ed1a527b4e5850b836a492,55f821f832af740005172118,APPROVED,2023-02-15T17:46:00.642000Z,2023-02-15T18:07:24.533000Z,2023-02-22T12:56:44.645000,2023-02-15T18:07:26.407845Z,1284,C8CDCVNZ,576,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63ed1a6b314e4cacb1d97d3a,63cfc4384312dd676734c339,APPROVED,2023-02-15T17:46:26.089000Z,2023-02-15T18:16:36.209000Z,2023-02-22T12:56:44.764000,2023-02-15T18:16:38.484759Z,1811,C8CDCVNZ,2,"English, Hindi, Other",26,Female,Asian,India,United Kingdom,India,Other,Yes,Part-Time
63ed1aaa8b55025414e42aa9,59982b9e6c165e000113fab6,APPROVED,2023-02-15T17:47:32.226000Z,2023-02-15T18:41:47.122000Z,2023-02-22T12:56:54.760000,2023-02-15T18:41:47.536336Z,3255,NOCODE,661,English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed1aeeaada7152fa362014,5cf913aa6873890001b97ee1,APPROVED,2023-02-15T17:48:37.364000Z,2023-02-15T18:18:27.926000Z,2023-02-22T12:56:54.886000,2023-02-15T18:18:31.921989Z,1791,C8CDCVNZ,621,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed1df0a68d8399e74bc0fb,5eac3dc896a6242689110c31,APPROVED,2023-02-15T18:02:39.337000Z,2023-02-15T18:27:45.822000Z,2023-02-22T12:56:44.884000,2023-02-15T18:27:46.674345Z,1507,C8CDCVNZ,1095,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed2a162e7885c5e5f5a243,60b5246e5cf737673debdf90,APPROVED,2023-02-15T18:53:20.383000Z,2023-02-15T19:19:16.109000Z,2023-02-22T12:56:55.007000,2023-02-15T19:19:16.459492Z,1556,C8CDCVNZ,1208,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ed2a16db544898c01da56d,63ea44a0adefd2af8e13015c,APPROVED,2023-02-15T18:53:21.492000Z,2023-02-15T19:20:52.960000Z,2023-02-22T12:56:55.132000,2023-02-15T19:20:55.268562Z,1652,C8CDCVNZ,6,"English, Hindi, Tamil",32,Male,Asian,India,United Kingdom,India,English,No,Full-Time
63ed2a170f8852e70ade2fbf,63d82d45988af85ef284c7b4,APPROVED,2023-02-15T18:54:26.512000Z,2023-02-15T19:15:12.024000Z,2023-02-22T12:56:55.257000,2023-02-15T19:15:14.595246Z,1246,C8CDCVNZ,41,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
