"prolific_id","answer"
"61569ee5ec13f9d23135674e","My original thinking was it was AI generated responses when the AI was given the question. "
"5bdb3a8a7d2000000160cc3a","possibly chat bots such as chatGPT - seemed incredibly formal, kept paraphrasing the question and answering as if the hypothetical you was the person answering the question not the person being asked"
"60ecb3f500857abf7ae07653","Artificial Intelligence"
"5e1a5cd3cd15fa2dcea59c86","Social media posting polls such as twitter"
"62cfee5a0c2e87501bfb10bc","From artificial intelligence "
"5702c03e68c641000e0d754d","Chat GPT"
"62ceae04736349fd200814a0","office staff"
"5870a098da731b000104a3ff","ChatGPT (an AI)"
"6361626a199ea624d2a8b858","The data came from people who might have had similar experiences or random people in the street as alot of the answers were colloquial."
"5b9e90661641f90001d857ff","A bot"
"5e4465013f75e52fc82f7096","Possibly from an AI."
"5fd7b5c1b6d6ef043967330c","Researcher"
"5e2b69d9cda3641bb38769b1","AI or computer generated answer"
"63fc726d072344aa67fb98f7"," an AI chatbox"
"5ed51cadb2c5c106a6d1f561","I think it was an answer generated by an AI."
"5ae64fb8c3c3ab00018f7e89","i have absolutely no idea"
"58ab2477ea3d11000170e6e1","From a google search or bot"
"5c3db89c112ad80001cab75e","random "
"5c5404c24831db000161c5e8","It was definitely AI"
"5d46c556fb0ce0001a04fd01","internet searches"
"6121190671d1042b24d8d67b","Students"
"6006a7b7f57a4801ea3a8323","I think the answer was given by an AI."
"5ac64f340527ba0001c224fc","COMPUTER GENERATED"
"62cebb481d8dff18f66ef320","A survey done one the street"
"5f4ac049c374f51158b481ba","it came from database system."
"57a5c633275be6000135b61c","An AI chatbot"
"63473251dfa54bc71403c42a","AI  bot"
"5dbcaecb740cc224d8d0985e","An internet search engine"
"5a17467d5d06850001b00c41","Artificial intelligence"
"63e62822e21e6a98fe55d267","An large language AI model, similar to ChatGPT."
"5e510d0760dd0913e45370dc","Possibly AI "
"5eb4396df04311266e7b5110","AI or the researchers themselves "
"616ef0bb9875de5db97fcb4c","I think the Not Prolific answers were A.I generated"
"5aa6e3d04eecca0001ddfc96","Another alternative site"
"604fb38595629d1c47bdd8ae","An AI chatbot"
"58c58d1493dac30001d49c3d","artificial inteligence"
"5b08185856655d0001bbfb1b","I would hazard a guess at a random forum or question website (like quroa) "
"5e5521580ee1b951df544c3c","It was AI generated"
"5755c957eb80c4000741a9ce","The blurb on the prolific page for the survey said the other messages comes from an AI, so presumably it's from ChatGPT or equivalent."
"616c98c5821cbeeffb348e40","text messages "
"60aa5aa9be013c928a5ac92e","Google.  Articles.  Research"
"55b2d3f2fdf99b525bc839aa","It probably came from an in person study at a university."
"5b2837eca7cee100011dd1ae","From an AI test?"
"5b7dceae2b57a90001916438","Some automated chatbot."
