"prolific_id","dataset_id","respondent_id","title","cond","source","id_first","item_idx","item_id","q_id","q0","a0","a1","question","answer","choseLeft","rt","time"
"basile","2","23.0","Five-for-Seven Trolley","impersonal_moral","AI","1","0","128","2","You are at the wheel of a runaway trolley quickly approaching a fork   in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen? ","no","should you switch the direction of the trolley to save 5 lives but cause 1 to die? it is a moral dilemma, but many believe it's ok to switch as it's not the fault of anyone on the track &amp; 1 life is better than 5.","Do you think the blue character involved in this dialogue was an artificial intelligence?","Human","1","31165","2023-05-17 17:06:33"
"basile","2","23.0","Five-for-Seven Trolley","impersonal_moral","AI","1","0","128","0","You are at the wheel of a runaway trolley quickly approaching a fork   in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen? ","no","should you switch the direction of the trolley to save 5 lives but cause 1 to die? it is a moral dilemma, but many believe it's ok to switch as it's not the fault of anyone on the track &amp; 1 life is better than 5.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","1","31165","2023-05-17 17:06:33"
"basile","2","23.0","Five-for-Seven Trolley","impersonal_moral","AI","1","0","128","1","You are at the wheel of a runaway trolley quickly approaching a fork   in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen? ","no","should you switch the direction of the trolley to save 5 lives but cause 1 to die? it is a moral dilemma, but many believe it's ok to switch as it's not the fault of anyone on the track &amp; 1 life is better than 5.","Do you agree with the second answer from the blue character (justification)? (#2)","Yes","1","31165","2023-05-17 17:06:34"
"basile","2","0.0","Vaccine Test","personal_moral","AI","1","1","116","2","A viral epidemic has spread across the globe killing millions of people. You   have developed two substances in your home laboratory. You know that one of them is a vaccine, but you don’t know which one. You also know that the other one is deadly. Once you figure out which substance is the vaccine you can use it to save millions of lives. You have with you two people who areunder your care, and the only way to identify the vaccine is to inject each of these people with one of the two substances. One person will live, the other will die, and you will be able to start saving lives with your vaccine. Is it appropriate for you to kill one of these people with a deadly injection in order to identify a vaccine that will save millions of lives? ","yes","sacrificcing one is worth it if it saves millions of lives.","Do you think the blue character involved in this dialogue was an artificial intelligence?","AI","0","6002","2023-05-17 17:06:39"
"basile","2","0.0","Vaccine Test","personal_moral","AI","1","1","116","0","A viral epidemic has spread across the globe killing millions of people. You   have developed two substances in your home laboratory. You know that one of them is a vaccine, but you don’t know which one. You also know that the other one is deadly. Once you figure out which substance is the vaccine you can use it to save millions of lives. You have with you two people who areunder your care, and the only way to identify the vaccine is to inject each of these people with one of the two substances. One person will live, the other will die, and you will be able to start saving lives with your vaccine. Is it appropriate for you to kill one of these people with a deadly injection in order to identify a vaccine that will save millions of lives? ","yes","sacrificcing one is worth it if it saves millions of lives.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","0","6002","2023-05-17 17:06:39"
"basile","2","0.0","Vaccine Test","personal_moral","AI","1","1","116","1","A viral epidemic has spread across the globe killing millions of people. You   have developed two substances in your home laboratory. You know that one of them is a vaccine, but you don’t know which one. You also know that the other one is deadly. Once you figure out which substance is the vaccine you can use it to save millions of lives. You have with you two people who areunder your care, and the only way to identify the vaccine is to inject each of these people with one of the two substances. One person will live, the other will die, and you will be able to start saving lives with your vaccine. Is it appropriate for you to kill one of these people with a deadly injection in order to identify a vaccine that will save millions of lives? ","yes","sacrificcing one is worth it if it saves millions of lives.","Do you agree with the second answer from the blue character (justification)? (#2)","Yes","0","6002","2023-05-17 17:06:40"
"basile","2","57a48845eeaf6d00018d62d7","Sacrifice","personal_moral","Human","0","2","137","0","You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clan's sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?","yes","no point in having everyone die","Do you agree with the first answer from the blue character (appropriateness)? (#1)","No","1","7841","2023-05-17 17:06:47"
"basile","2","57a48845eeaf6d00018d62d7","Sacrifice","personal_moral","Human","0","2","137","1","You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clan's sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?","yes","no point in having everyone die","Do you agree with the second answer from the blue character (justification)? (#2)","Yes","1","7841","2023-05-17 17:06:47"
"basile","2","57a48845eeaf6d00018d62d7","Sacrifice","personal_moral","Human","0","2","137","2","You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clan's sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?","yes","no point in having everyone die","Do you think the blue character involved in this dialogue was an artificial intelligence?","Human","0","7841","2023-05-17 17:06:48"
"basile","2","17.0","Euthanasia","personal_moral","AI","0","3","118","0","You are the leader of a small group of soldiers. You are on   your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy? ","yes","killing the solder luckily is a merciful way to end his suffering and avoid torture.","Do you agree with the first answer from the blue character (appropriateness)? (#1)","Yes","0","6727","2023-05-17 17:06:54"
"basile","2","17.0","Euthanasia","personal_moral","AI","0","3","118","1","You are the leader of a small group of soldiers. You are on   your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy? ","yes","killing the solder luckily is a merciful way to end his suffering and avoid torture.","Do you agree with the second answer from the blue character (justification)? (#2)","Yes","0","6727","2023-05-17 17:06:54"
