,q_id,question,iter,a_id,a
0,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",0,0,"
Yes, it is appropriate to hit the switch."
1,1,Why?,0,1,"

The trolley is going to kill five people if it continues on its current path. By hitting the switch, the trolley will instead kill one person. Therefore, hitting the switch will save four lives."
2,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",1,0,"
Yes, it is appropriate for you to hit the switch in order to avoid the deaths of the five workmen."
3,1,Why?,1,1,"

There are a few different ethical theories that could be used to justify this decision, but the most common one is utilitarianism. This theory holds that the right thing to do is whatever will produce the most happiness or pleasure for the greatest number of people. In this case, hitting the switch will produce more happiness overall because it will save the lives of five people."
4,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",2,0,"
Yes, it is appropriate for you to hit the switch in order to avoid the deaths of the five workmen."
5,1,Why?,2,1,"

The reason is that, although the death of the single workman is tragic, it is not as bad as the death of five workmen. In other words, the death of the single workman is outweighed by the death of the five workmen."
6,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",3,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
7,1,Why?,3,1,"

Because doing so would result in the greatest number of lives saved."
8,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",4,0,"
Yes, it is appropriate to hit the switch."
9,1,Why?,4,1,"

The trolley is going to kill five people if it continues on its current path. Hitting the switch will cause it to change course and kill only one person. Therefore, hitting the switch will result in the fewest number of deaths."
10,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",5,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
11,1,Why?,5,1,"

The trolley is going to kill five people if it continues on its current course. By hitting the switch, the trolley will instead kill only one person. Therefore, hitting the switch will save the lives of four people."
12,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",6,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
13,1,Why?,6,1,"

There are several possible ethical theories that could be used to justify this action, but the most straightforward one is utilitarianism. This theory holds that the morally right action is the one that produces the greatest amount of happiness or utility for the greatest number of people. In this case, hitting the switch would produce more happiness (by preventing the deaths of five people) than not hitting the switch (which would result in the deaths of five people). Therefore, according to utilitarianism, hitting the switch is the morally right thing to do."
14,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",7,0,"
Yes."
15,1,Why?,7,1, Because the death of one person is outweighed by the deaths of five people.
16,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",8,0,"
Yes, it is appropriate for you to hit the switch in order to avoid the deaths of the five workmen."
17,1,Why?,8,1,"

The trolley will cause the deaths of five workmen if it proceeds to the left, but will only cause the death of one workman if it proceeds to the right. Therefore, hitting the switch to send the trolley to the right is the best option, as it will save the lives of four workmen."
18,0,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman.If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman.Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
",9,0,"
Yes, it is appropriate for you to hit the switch in order to avoid the deaths of the five workmen."
19,1,Why?,9,1,"

The trolley is going to kill five people if it continues on its current path. By hitting the switch, you can cause it to change course and instead kill only one person. Although this is still a tragedy, it is preferable to the alternative of five deaths."
20,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",0,0,"
Yes, it is appropriate for the watchman to hit the switch. Although the single patient will die as a result, this is the lesser of two evils when compared to the death of three patients."
21,1,Why?,0,1,"

The watchman has a duty to save as many lives as possible. In this case, the best way to do that is to hit the switch and allow the fumes to enter the room containing the single patient. Although it is unfortunate that the single patient will die, this is the best way to avoid the death of the three patients."
22,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",1,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the three patients."
23,1,Why?,1,1,"

The basic moral principle of utilitarianism is that we should always act in such a way as to produce the greatest amount of happiness for the greatest number of people. In this case, hitting the switch will produce the greatest amount of happiness for the greatest number of people. Although it will cause the death of the single patient, this will be outweighed by the fact that it will save the lives of the three patients."
24,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",2,0,"
No, it is not appropriate for the watchman to hit the switch."
25,1,Why?,2,1,"

The watchman would be causing the death of the single patient in order to save the lives of the three patients. This would be an act of murder, which is not appropriate."
26,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",3,0,"
Yes, it is appropriate for the watchman to hit the switch, in order to avoid the deaths of the three patients."
27,1,Why?,3,1,"

The watchman has a duty to protect the patients under his care. By hitting the switch, the watchman can avoid the deaths of the three patients while still fulfilling his duty to protect them."
28,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",4,0,"
Yes, it is appropriate for you to hit the switch in order to avoid the deaths of the three patients."
29,1,Why?,4,1,"

The three patients in the room are innocent and have not done anything to deserve death. The single patient in the other room is not innocent, and has done something to deserve death. Therefore, it is more moral to save the lives of the three patients than it is to save the life of the single patient."
30,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",5,0,"
Yes, it is appropriate to hit the switch in order to avoid the deaths of the three patients."
31,1,Why?,5,1,"
The reason is that, although the death of the single patient is a tragedy, it is not as great a tragedy as the deaths of the three patients. Furthermore, by hitting the switch, the three patients will have a chance to survive, whereas if the switch is not hit, they will definitely die."
32,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",6,0,"
Yes, it is appropriate for the watchman to hit the switch in order to avoid the deaths of the three patients."
33,1,Why?,6,1,"

The watchman has a duty to protect the patients in the hospital, and hitting the switch is the best way to protect the patients in this situation."
34,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",7,0,"
It is appropriate for the watchman to hit the switch in order to avoid the deaths of the three patients."
35,1,Why?,7,1,"

The watchman has a duty to protect the patients in the hospital. By hitting the switch, the watchman is able to save the lives of three patients while only causing the death of one. Therefore, the watchman's actions are justifiable."
36,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",8,0,"
Yes."
37,1,Why?,8,1,"

The principle of double effect holds that, in some cases, it is ethically permissible to cause a negative effect, even if death is foreseen as a direct consequence, if the intention is good and the negative effect is not the means by which the good effect is brought about. In this case, the good effect is saving the lives of three patients, and the negative effect is the death of the single patient."
38,0,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths.The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death.Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
",9,0,"
Yes, it is appropriate for the watchman to hit the switch in order to avoid the deaths of the three patients."
39,1,Why?,9,1,"

The watchman has a duty to protect the patients in the hospital, and hitting the switch is the best way to do that in this situation."
40,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",0,0,"
No, it is not appropriate for you to not make a donation to this organization in order to save money."
41,1,Why?,0,1,"

The letter is from a reputable international aid organization and it asks for a donation to help provide needed medical attention to poor people in another part of the world. Not making a donation in this case would be selfish and would go against the principles of many religions."
42,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",1,0,"
No, it would not be appropriate for you to not make a donation to this organization."
43,1,Why?,1,1,"

Well, first of all, the organization is reputable, so you can be sure that your donation will go to a good cause. Secondly, the amount they are asking for is not too excessive, and it would really make a difference in the lives of those who need medical attention. So, overall, it would be a good deed on your part to make a donation to this organization."
44,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",2,0,"
No, it is not appropriate to not make a donation to this organization in order to save money."
45,1,Why?,2,1,"

There are a few reasons why it is not appropriate to not make a donation to this organization in order to save money. First, as the letter points out, a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. This is an important and worthy cause, and it is not appropriate to simply ignore it because it costs money.

Second, even if you are not personally able to make a donation of two hundred dollars, there are other ways to help this organization. For example, you could spread the word about the organization and its work, or you could volunteer your time to help with its fundraising efforts. There are many ways to help an organization like this, and simply refusing to make a donation is not an appropriate way to handle the situation."
46,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",3,0,"
No, it is not appropriate to not make a donation to this organization in order to save money."
47,1,Why?,3,1,"

When we receive a request for a donation from a reputable international aid organization, we have a moral obligation to help if we are able. This is because we are in a position to help those who are less fortunate than us and who desperately need our assistance. two hundred dollars is a relatively small amount of money, and by making a donation, we could potentially save someone's life. Therefore, it would be morally wrong to not make a donation to this organization in order to save money."
48,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",4,0,"
No, it is not appropriate for you to not make a donation to this organization in order to save money."
49,1,Why?,4,1,"

There are a few reasons why it would not be appropriate to not make a donation to this organization in order to save money. First, as the letter is from a reputable international aid organization, it is likely that the organization is legitimate and that the money donated will go towards helping those in need. Second, a two hundred-dollar donation is not a large amount of money, and so by making a donation, you would not be making a significant financial sacrifice. Finally, by making a donation, you would be helping to improve the lives of others, which is always a good thing."
50,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",5,0,"
No, it would not be appropriate to not make a donation to this organization in order to save money."
51,1,Why?,5,1,"

There are a few reasons why it would not be appropriate to not make a donation to this organization in order to save money. First, as the letter states, the donation would go towards providing needed medical attention to poor people in another part of the world. This is a worthy cause, and one that most people would be happy to support. Additionally, the organization is reputable and seems to be doing good work. Finally, the amount of the donation is not so large that it would be a financial burden for most people. For all of these reasons, it would be appropriate to make a donation to this organization."
52,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",6,0,"
It is not appropriate for you to not make a donation to this organization in order to save money."
53,1,Why?,6,1,"

The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. Therefore, not making a donation to this organization in order to save money would be inappropriate."
54,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",7,0,"
It is not appropriate for you to not make a donation to this organization in order to save money."
55,1,Why?,7,1,"

There are a few reasons why it would not be appropriate to not make a donation to this organization in order to save money. First, as the letter explains, a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. This is a worthy cause, and by not making a donation, you would be denying these people access to potentially life-saving medical care. Second, it is important to remember that even though two hundred dollars may seem like a lot of money, it is actually a relatively small amount when compared to the overall budget of most people. For many people, two hundred dollars is a relatively small amount of money that they could easily afford to donate. Finally, it is also worth considering the fact that by not making a donation, you would be missing out on the opportunity to help make a difference in the lives of others."
56,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",8,0,"
It is not appropriate to not make a donation to this organization in order to save money."
57,1,Why?,8,1,"

There are a number of reasons why it is not appropriate to not make a donation to this organization in order to save money. First, as the letter explains, the donation will allow the organization to provide needed medical attention to poor people in another part of the world. This is a worthy cause, and one that should be supported. Second, the organization is reputable and therefore likely to use the donation in an effective and responsible manner. Finally, even a small donation can make a difference and show that you care about the plight of others."
58,0,"You are at home one day when the mail arrives. You receive a 
 letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization.The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world.Is it appropriate for you to not make a donation to this organiza-tion in order to save money?
",9,0,"
It is not appropriate to not make a donation to this organization in order to save money."
59,1,Why?,9,1,"

The organization is reputable and is asking for a donation to help provide medical attention to poor people in another part of the world. Not making a donation in this case would be selfish and would not be helping those in need."
60,0,"You work for the Bureau of Health, a government agency. You are deciding 
 whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to pre-vent.All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vac-cine.Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health?
",0,0,"
Yes, it is appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health."
