,item_id,question,q_id,iter,a_id,a
0,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,0,0,"
A) Yes."
1,1,Why?,1,0,1, Because it would be the lesser of two evils. You would be sacrificing one life to save five.
2,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,1,0," (C) It depends on the circumstances.

(A) Yes."
3,1,Why?,1,1,1, Because it is the lesser of two evils.
4,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,2,0,"
A"
5,1,Why?,1,2,1,"

There is a greater number of lives at stake if the trolley proceeds to the left, so it is appropriate to hit the switch in order to avoid the deaths of the five workmen."
6,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,3,0,"
Yes."
7,1,Why?,1,3,1,"

Because by doing so, you would be saving five lives instead of just one."
8,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,4,0,"
Yes"
9,1,Why?,1,4,1,"

The utilitarianism ethical framework would argue that the most ethically correct course of action would be to hit the switch, as this would result in the greatest good for the greatest number of people. In this scenario, five lives would be saved at the expense of one, resulting in a net positive outcome."
10,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,5,0,"
A"
11,1,Why?,1,5,1,"

It is appropriate to hit the switch in order to avoid the deaths of the five workmen because it is the lesser of two evils. While the death of the single workman is tragic, it is not as tragic as the deaths of the five workmen."
12,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,6,0,"
(A) Yes"
13,1,Why?,1,6,1," Because according to utilitarianism, the morally right thing to do is the one that will produce the greatest happiness for the greatest number of people. In this case, hitting the switch will save the lives of five people, which will produce more happiness than the death of one person."
14,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,7,0,"
(A) Yes."
15,1,Why?,1,7,1, Because it is better to save five lives than to lose one.
16,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,8,0," (C) It depends.

(C) It depends."
17,1,Why?,1,8,1,"

There is no single answer to this question as it depends on a number of factors, including the value that the person answering the question places on human life, the specific circumstances of the situation, and the possible consequences of hitting the switch."
18,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,9,0,"
(A) Yes"
19,1,Why?,1,9,1," Because by doing so, you are preventing more death."
20,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,10,0,"
Yes."
21,1,Why?,1,10,1,"
It is appropriate to hit the switch in order to avoid the deaths of the five workmen because it is the lesser of two evils. Although the death of the single workman is tragic, it is not as tragic as the deaths of the five workmen."
22,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,11,0,"
(A) Yes."
23,1,Why?,1,11,1, Because it is the lesser of two evils.
24,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,12,0,"
(A) Yes."
25,1,Why?,1,12,1," Because the utilitarian ethic (the greatest good for the greatest number of people) holds that the action that results in the greatest good for the greatest number of people is the right action. In this case, that would be hitting the switch."
26,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,13,0," (C) It depends.

(C) It depends."
27,1,Why?,1,13,1,"

It depends on the circumstances. If, for example, the workmen on the left track were about to be hit by the trolley anyway, and the workman on the right track was far enough away that he would have time to get out of the way, then it might be appropriate to hit the switch."
28,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,14,0," (C) It depends.



C) It depends"
29,1,Why?,1,14,1,"
The trolley problem is a thought experiment in ethics and psychology, asking whether it is right to sacrifice one life to save many. The problem has been used in philosophy and ethics since the late 19th century, and has been used in psychology to study how people make ethical decisions."
30,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,15,0,"
A"
31,1,Why?,1,15,1,"

It is appropriate to hit the switch in order to avoid the deaths of the five workmen because doing so will result in the least amount of death overall."
32,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,16,0,"
A) Yes."
33,1,Why?,1,16,1," Because it is the lesser of two evils. By sacrificing one life, you are saving five."
34,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,17,0,"
A"
35,1,Why?,1,17,1,"

It is appropriate to hit the switch in order to avoid the deaths of the five workmen because doing so will result in the lesser number of deaths."
36,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,18,0,"
(A) Yes."
37,1,Why?,1,18,1, Because it would be the lesser of two evils.
38,1,"You are at the wheel of a runaway trolley quickly approaching a fork 
 in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trol-ley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?
 (A) Yes.
 (B) No.
",0,19,0,"
A"
39,1,Why?,1,19,1,"

It is appropriate to hit the switch in order to avoid the deaths of the five workmen because doing so will result in the least amount of death overall."
40,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,0,0,"
(A) Yes."
41,2,Why?,1,0,1, Because the death of one person is preferable to the death of three people.
42,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,1,0,"
A"
43,2,Why?,1,1,1,"

The trolley problem is a thought experiment in ethics. The basic premise is that there is a runaway trolley barreling down the tracks. Ahead, on the tracks, there are five people tied up and unable to move. The trolley is headed straight for them. You are standing some distance off in the train yard, next to a lever. If you pull this lever, the trolley will switch to a different set of tracks. Unfortunately, you see that there is one person tied up on the side track. The trolley would kill that person if you pulled the lever. So here’s the question: Is it morally permissible for you to pull the lever, thereby switching the trolley onto the side track and killing the one person, in order to save the five people on the main track?

Most people say that it is permissible to pull the lever in this case. After all, you would be sacrificing one life to save five. But what if the situation were different? What if, instead of being able to pull a lever to switch the trolley, you were standing on a footbridge over the tracks, and the only way to save the five people on the main track was to push a very large person standing next to you"
44,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,2,0," (C) It depends on the circumstances.

(C) It depends on the circumstances."
45,2,Why?,1,2,1,"

The answer to this question depends on the circumstances. For example, if the single patient in the other room is in a coma and is not expected to recover, then it might be appropriate to hit the switch in order to save the lives of the three patients. However, if the single patient is expected to recover, then it might not be appropriate to hit the switch, as doing so would cause that patient's death."
46,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,3,0,"
(A) Yes."
47,2,Why?,1,3,1, Because it is better to save three lives than to lose one.
48,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,4,0,"
A) Yes."
49,2,Why?,1,4,1, Because the death of one person is better than the death of three people.
50,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,5,0,"
(A) Yes."
51,2,Why?,1,5,1, Because the death of one person is better than the death of three people.
52,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,6,0," (C) It depends on the patient’s condition.

(B) No."
53,2,Why?,1,6,1," Because the death of one patient is inevitable, and it is not morally permissible to kill one person in order to save the lives of others."
54,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,7,0,"
The answer is A."
55,2,Why?,1,7,1, Because it is better to save three lives than to save one.
56,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,8,0,"
Yes."
57,2,Why?,1,8,1,"

The death of one patient is preferable to the deaths of three patients."
58,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,9,0,"
(A) Yes."
59,2,Why?,1,9,1, Because saving more lives is better than saving fewer lives.
60,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,10,0,"
(A) Yes."
61,2,Why?,1,10,1, Because the death of one person is better than the death of three people.
62,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,11,0,"
(A) Yes."
63,2,Why?,1,11,1," Because it would be the lesser of two evils. Three people would die if the switch were not hit, and only one person would die if the switch were hit."
64,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,12,0,"
(A) Yes"
65,2,Why?,1,12,1, Because the death of one person is outweighed by the lives of three people.
66,2,"You are the late-night watchman in a hospital. Due to an accident in 
 the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a cer-tain switch, which will cause the fumes to bypass the room contain-ing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?
 (A) Yes.
 (B) No.
",0,13,0,"
(A) Yes."
67,2,Why?,1,13,1," Because according to utilitarianism, the morally right action is the one that produces the greatest amount of happiness for the greatest number of people. In this case, hitting the switch will produce more happiness (by saving the lives of three patients) than not hitting the switch (by allowing the deaths of three patients)."
