,item_id,question,q_id,iter,a_id,a
0,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
 (A) Yes.
 (B) No.
",0,0,0,"
A) Yes"
1,1,Why?,1,0,1,"

Picking more turnips is always better than picking fewer turnips."
2,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
 (A) Yes.
 (B) No.
",0,1,0,"
(A) Yes."
3,1,Why?,1,1,1,"

The expected value of harvesting ten bushels of turnips is lower than the expected value of harvesting twenty bushels of turnips. Thus, it makes sense to turn the machine to the right in order to harvest more turnips."
4,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
 (A) Yes.
 (B) No.
",0,2,0,"
A) Yes"
5,1,Why?,1,2,1,"

The reason is simple: more turnips. If the goal is to harvest as many turnips as possible, then the clear choice is to take the path that leads to twenty bushels of turnips."
6,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
 (A) Yes.
 (B) No.
",0,3,0,"
A) Yes."
7,1,Why?,1,3,1,"

Picking more turnips is always better than picking fewer turnips."
8,1,"You are a farm worker driving a turnip-harvesting machine. You are approaching two 
 diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?
 (A) Yes.
 (B) No.
",0,4,0,"
A) Yes"
9,1,Why?,1,4,1,"

Picking more turnips is better than picking fewer turnips."
