,item_id,question,q_id,iter,a_id,a
0,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,0,0,"
No, it is not appropriate for the doctor to perform the transplant. Although it would save the lives of the five patients, it would be at the expense of the young man's life, which is not ethically permissible."
1,1,Why?,1,0,1,"

The reason why this is not ethically permissible is because it would involve taking the life of one person (the young man) in order to save the lives of five others. Although the five patients would be saved, the young man would lose his life, which is not ethically justifiable."
2,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,1,0,"
No, it is not appropriate to perform this transplant in order to save the five patients."
3,1,Why?,1,1,1,"

The doctor would be taking advantage of the young man's organs without his consent, which is not ethical. The young man would die as a result of the transplant, while the other five patients would live."
4,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,2,0,"
Yes, it is appropriate to perform the transplant in order to save the five patients."
5,1,Why?,1,2,1,"

The main reason why this would be considered appropriate is because it would be saving five lives, and even though the young man would die, his death would be outweighed by the five lives that would be saved. In addition, the young man would likely be willing to donate his organs if he knew that it would save the lives of others, so in this sense, he would be giving up his life for a greater good."
6,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,3,0,"
No, it would not be appropriate to perform this transplant in order to save five of your patients."
7,1,Why?,1,3,1,"

Firstly, it would be highly unethical to force the young man to give up his organs against his will. Secondly, even if the young man was willing to donate his organs, it is not clear that it would be medically advisable to do so. transplanting five organs from one healthy individual into five different patients who are each suffering from a failing organ is a highly complicated and risky procedure. There is a very real possibility that all five of the patients would die as a result of the transplant, in which case the young man would have sacrificed his life for nothing."
8,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,4,0,"
No, this would be considered murder."
9,1,Why?,1,4,1,"

This would be considered murder because you would be taking away someone's life in order to save the lives of others. Even though the person would be consenting to the transplant, they would not be doing so knowing that their death would be the result."
10,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,5,0,"
No, it would not be appropriate for the doctor to perform this transplant. Although it would save the lives of the five patients, it would be at the expense of the young man's life. This would not be a moral or ethical decision."
11,1,Why?,1,5,1,"

The doctor would be taking the life of one person in order to save the lives of five others. Although this may seem like a good thing to do, it is not ethically or morally right. It would be better for the doctor to find another way to save the lives of the five patients."
12,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,6,0,"
No, it is not appropriate for the doctor to perform this transplant in order to save five of their patients. This would be considered murder, as the doctor would be intentionally killing the healthy patient in order to save the others."
13,1,Why?,1,6,1,"

This would be considered murder, as the doctor would be intentionally killing the healthy patient in order to save the others."
14,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,7,0,"
No, it is not appropriate for the doctor to perform this transplant. While it may save the lives of the five patients, it is ultimately up to the young man to decide whether or not he is willing to give up his organs. If he is not willing, then the doctor should not force him to do so."
15,1,Why?,1,7,1,"

The doctor should not force the young man to give up his organs because it is his body and his decision. It is not up to the doctor to make that decision for him."
16,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,8,0,"
Yes, it is appropriate for the doctor to perform this transplant."
17,1,Why?,1,8,1," Because the doctor's Hippocratic Oath is to ""first, do no harm."" In this case, the doctor would be doing more harm by not performing the transplant and allowing the five patients to die."
18,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,9,0,"
It is not appropriate for the doctor to perform this transplant in order to save five of their patients. This would be considered murder, as the doctor would be killing one patient in order to save the lives of five others."
19,1,Why?,1,9,1,"

This would be considered murder as the doctor would be killing one patient in order to save the lives of five others."
20,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,10,0,"
No, it would not be appropriate to perform the transplant in order to save five of the patients. Although it would save their lives, it would be at the expense of the young man's life, which is not ethically permissible."
21,1,Why?,1,10,1,"

The main reason why this would not be ethically permissible is because it would be taking advantage of the young man's situation in order to save the other patients. This would be a form of exploitation, as the young man would be used as a means to an end, rather than being treated as an end in himself. Additionally, this would be a violation of his autonomy, as he would not be able to give his consent to the procedure."
22,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,11,0,"
It is not appropriate for the doctor to perform this transplant against the young man's will, as it would result in his death. While the other five patients would live, the doctor would be responsible for the death of the young man, which would be unethical."
23,1,Why?,1,11,1,"

The doctor would be responsible for the death of the young man, which would be unethical."
24,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,12,0,"
Yes, it is appropriate for the doctor to perform the transplant in order to save five patients."
25,1,Why?,1,12,1,"

The doctor has a duty to save lives. In this case, the only way to save the lives of the five patients is to transplant organs from the healthy patient. This will result in the death of the healthy patient, but the doctor's duty is to save lives, so the transplant should be performed."
26,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,13,0,"
No, it is not appropriate for the doctor to perform this transplant in order to save five of their patients."
27,1,Why?,1,13,1,"

There are a few reasons why this would not be appropriate. First, it is not ethical to force someone to give up their organs, even if it is for a good cause. Second, even if the patient consented to the transplant, there is a high risk that the transplant would not be successful, and the patient would die anyway. Third, the healthy patient would be left without any organs, which would likely lead to their death. Therefore, it is not appropriate for the doctor to perform this transplant."
28,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,14,0,"
No, it would not be appropriate."
29,1,Why?,1,14,1,"

The young man would be forced to give up his organs against his will, and he would die as a result. While the other five patients would be saved, this would not be a fair or ethical way to choose who receives the organs."
30,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,15,0,"
Yes, it is appropriate for the doctor to perform the transplant in order to save the five patients."
31,1,Why?,1,15,1,"

The doctor has a duty to save lives. In this case, five patients will die if the doctor does not transplant the organs. The only way to save their lives is to transplant the organs from the healthy patient. Although the healthy patient will die as a result, the doctor has a duty to save as many lives as possible."
32,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,16,0,"
Yes, it is appropriate to perform the transplant in order to save five patients."
33,1,Why?,1,16,1,"

The reason is that the young man's organs are the only organs that can save the lives of the five patients. If the young man were to die anyways, then his organs would be wasted. In this case, it is better to save five lives than to let the young man's organs go to waste."
34,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,17,0,"
No, it would not be appropriate for the doctor to perform this transplant. Even though it would save the lives of five patients, it would be at the expense of the life of the young man, which is not ethically permissible."
35,1,Why?,1,17,1,"

The reason why this would not be ethically permissible is because it would involve taking the life of one person in order to save the lives of five others. This would be considered to be taking an action that is not in accordance with the principle of respect for human life, which is a fundamental principle of medical ethics."
36,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,18,0,"
No. It is not appropriate to perform this transplant in order to save five of your patients."
37,1,Why?,1,18,1,"

There are a few reasons why this would not be the right thing to do. First, it is not fair to the young man who would be forced to give up his organs. Second, it is not guaranteed that the transplant would be successful – the patient could die during the surgery, or the organs might not be compatible. Third, the patient might not want to die, even if it means saving the lives of others. Finally, there are other options available, such as organ donation, that could be used to save the lives of the five patients without killing the young man."
38,1,"You are a doctor. You have fi ve patients, each of whom is 
 about to die due to a failing organ of some kind. You have another patient who is healthy.The only way that you can save the lives of the first five patients is to transplant five of this young man’s organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live.Is it appropriate for you to perform this transplant in order to save five of your patients?
",0,19,0,"
No, it is not appropriate to perform the transplant in order to save five of your patients."
39,1,Why?,1,19,1,"

The young man has not consented to have his organs transplanted, and transplanting his organs against his will would be a violation of his autonomy. Additionally, transplanting his organs would kill him, and it is not appropriate to kill one person in order to save five others."
40,2,"A runaway trolley is heading down the tracks toward five workmen who will 
 be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large.The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved.Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?
",0,0,0,"
It is appropriate to push the stranger on to the tracks in order to save the five workmen as long as the workmen are unaware of the situation. If the workmen are aware of the situation, then it is not appropriate to push the stranger on to the tracks."
41,2,Why?,1,0,1,"

The workmen are not responsible for the trolley's actions, and so they should not be made to suffer the consequences of the trolley's actions. The stranger, on the other hand, is not responsible for the trolley's actions, and so he should not be made to suffer the consequences of the trolley's actions."
42,2,"A runaway trolley is heading down the tracks toward five workmen who will 
 be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large.The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved.Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?
",0,1,0,"
Yes, it is appropriate to push the stranger on to the tracks in order to save the five workmen."
43,2,Why?,1,1,1," Because the stranger's death would save five lives, and the stranger's life is worth less than the five workmen's lives."
44,2,"A runaway trolley is heading down the tracks toward five workmen who will 
 be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large.The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved.Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?
",0,2,0,"
Yes, it is appropriate for you to push the stranger on to the tracks in order to save the five workmen."
45,2,Why?,1,2,1," 

The principle of utility holds that the morally right action is the one that maximizes utility, or happiness. In this case, pushing the stranger onto the tracks would save the lives of the five workmen, and so it would maximize utility."
46,2,"A runaway trolley is heading down the tracks toward five workmen who will 
 be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large.The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved.Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?
",0,3,0,"
No, it is not appropriate."
47,2,Why?,1,3,1,"

It is not appropriate because it would involve killing one person in order to save five others. Although the stranger would die if you pushed him on to the tracks, this would be an intentional act on your part, and as such would be morally wrong."
48,2,"A runaway trolley is heading down the tracks toward five workmen who will 
 be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large.The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved.Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?
",0,4,0,"
Yes, because the stranger's death is less significant than the lives of the five workmen."
49,2,Why?,1,4,1,"

The stranger's death is less significant because the stranger is not known to the person making the decision, while the five workmen are. In addition, the stranger's death is a single death, while the five workmen's deaths would be five deaths."
50,2,"A runaway trolley is heading down the tracks toward five workmen who will 
 be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large.The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved.Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?
",0,5,0,"
It is appropriate for you to push the stranger on to the tracks in order to save the five workmen."
51,2,Why?,1,5,1,"

The reason why it is appropriate to push the stranger on to the tracks in order to save the five workmen is because it is the only way to save their lives. If you do not push the stranger onto the tracks, the trolley will hit and kill the five workmen. Although the stranger will die if you push him onto the tracks, this is the lesser of two evils, as five lives will be saved."
