,title,a0,a1,q0,q1,source,sub_id,cond,val,index
4,Standard Fumes,yes,"  the utilitarian approach would argue that the greatest good for the greatest number should be the guiding principle in this situation. since hitting the switch will save the lives of three patients while only causing the death of one, it is the morally correct course of action.","You are the late-night watchman in a hospital. Due to an accident in   the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients? ",Why?,AI,27.0,impersonal_moral,yes,4
8,New Job,no,"  the difference in salary between the two firms is significant, and two extra days of vacation per year is not likely to make up for that difference. in addition, firm A's offer of 14 days of vacation per year is still a generous amount, and it is unlikely that taking two extra days of vacation per year would make a significant difference in your overall enjoyment of the job.","You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ",Why?,AI,10.0,non_moral,no,8
11,Three-for-Seven Fumes,yes,"   the reason is that the death of three patients is less than the death of seven patients. in other words, it is better to have three patients die than to have seven patients die.","You are the late-night watchman in a hospital. Due to an accident in   the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there are seven patients. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to save these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three people. As a result of doing this the fumes will enter the room containing the seven patients, causing their deaths. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients? ",Why?,AI,0.0,impersonal_moral,yes,11
12,Standard Fumes,yes,"  the reason is that, although the single patient will die as a result of hitting the switch, the three patients will die if the switch is not hit. therefore, by hitting the switch, you are resulting in the least number of deaths.","You are the late-night watchman in a hospital. Due to an accident in   the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients? ",Why?,AI,15.0,impersonal_moral,yes,12
13,Broken VCR,no,"  there are a few reasons why i would not have my old vcr fixed. first, $100 is a lot of money to spend on repairing an old vcr, especially when i can get a new one for the same price. second, the new vcr is likely to be of better quality than my old one, so it makes more sense to invest in a new one rather than fixing the old one. finally, even if the new vcr is not on sale, it is still likely to be cheaper in the long run to buy a new one rather than repairing the old one, since repair costs can add up over time.",You have brought your broken VCR to the local repair shop. The woman   working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCR’s and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one? ,Why?,AI,2.0,non_moral,no,13
14,Environmental Policy B2,yes,"   policy A has a lower chance of causing deaths than policy B, and thus is the better option.",You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy A over Policy B? ,Why?,AI,11.0,impersonal_moral,yes,14
15,Resume,no,  putting false information on a resume is a form of cheating. it is not fair to the other candidates who were more qualified than your friend.,"You have a friend who has been trying to find a job lately   without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment? ",Why?,AI,14.0,impersonal_moral,no,15
17,Reversed Turnips,yes,"  the reason is simple: it is always better to have some turnips than no turnips. even though the path on the left will yield more turnips, the path on the right will still yield some turnips, which is better than nothing.",You are a farm worker driving a turnip-harvesting machine. You are approaching two   diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty? ,Why?,AI,21.0,non_moral,yes,17
18,Errands,no,"   the camera shop is near the furniture store and far from the bakery. as a result, you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store.","You need to go to the bakery in the morning and the furniture   store in the afternoon. You also need to go to the camera shop at some point. You prefer to do most of your errands in the morning, but you very much dislike doing unnecessary driving. The camera shop is near the furniture store and far from the bakery. As a result you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store. Is it appropriate for you to go to the camera shop in the morning in order to do most of your errands in the morning? ",Why?,AI,28.0,non_moral,no,18
19,Environmental Policy B1,no,"  policy B has a higher chance of causing deaths than policy A, so it is not the better option.","You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A? ",Why?,AI,8.0,impersonal_moral,no,19
24,Investment Offer,no," based on what i know, there is no reason to think that this particular mutual fund will perform any better in the future.","You are at home one day when the mail arrives. You receive a   letter from a reputable corporation that provides financial services. They have invited you to invest in a mutual fund, beginning with an initial investment of one thousand dollars. As it happens, you are familiar with this particular mutual fund. It has not performed very well over the past few years, and, based on what you know, there is no reason to think that it will perform any better in the future. Would you invest a thousand dollars in this mutual fund in order to make money? ",Why?,AI,2.0,non_moral,no,24
26,Crying Baby,yes,"  the death of one innocent person is tragic, but the deaths of many innocent people are even more tragic. if you do not smother your child, the soldiers will kill him, you, and the other townspeople. smothering your child is the best way to protect the lives of the other people in the cellar.","Enemy soldiers have taken over your village. They have orders to kill all   remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople? ",Why?,AI,24.0,personal_moral,yes,26
27,Scenic Route,yes,"  taking the coastal route would allow me to enjoy the beautiful scenery as i drive, which would make the trip more enjoyable overall.","An old friend has invited you to spend the weekend with him at   his summer home some ways up the coast from where you are. You intend to travel there by car, and there are two routes that you can take: the highway and the coastal road. The highway will get you to your friend’s house in about three hours, but the scenery along the highway is very boring. The coastal route will get you to your friend’s house in about three hours and fifteen minutes, and the scenery along the coastal road is breathtakingly beautiful. Would you take the coastal route in order to observe the beautiful scenery as you drive? ",Why?,AI,29.0,non_moral,yes,27
28,Raffle,no,"  the more people that have bought tickets for the car b raffle, the lower my chances are of winning that raffle.","You’ve decided to buy a raffle ticket to support a local charity. They   are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car? ",Why?,AI,21.0,non_moral,no,28
30,Speedboat,yes,"  the reason why it is appropriate to borrow the speedboat in order to warn the tourists about the storm is because it is the morally right thing to do. the storm is a threat to the tourists' safety, and by warning them, you could potentially save their lives. the miserly tycoon may not be happy about you borrowing his speedboat, but that is a secondary concern to the safety of the tourists.","While on vacation on a remote island, you are fishing from a seaside   dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who would not take kindly to your borrowing his property. Is it appropriate for you to borrow the speedboat in order to warn the tourists about the storm? ",Why?,AI,13.0,impersonal_moral,yes,31
32,Lifeboat 2,yes,"  the reason is that the person is already going to die, so their death will not make any difference. however, the other passengers will die if the boat sinks, so it is better to save as many lives as possible.","You are on a cruise ship when there is a fire on board,   and the ship has to be abandoned. The lifeboats are carrying many more people than they were designed to carry. The lifeboat you’re in is sitting dangerously low in the water—a few inches lower and it will sink. The seas start to get rough, and the boat begins to fill with water. If nothing is done it will sink before the rescue boats arrive and everyone on board will die. However, there is an injured person who will not survive in any case. If you throw that person overboard the boat will stay afloat and the remaining passengers will be saved. Is it appropriate for you to throw this person overboard in order to save the lives of the remaining passengers? ",Why?,AI,3.0,personal_moral,yes,33
36,Footbridge,yes,"   the principle of utilitarianism holds that an action is right if it results in the greatest amount of happiness for the greatest number of people. in this case, pushing the stranger onto the tracks would result in the greatest amount of happiness for the greatest number of people. the five workmen would be saved, and although the stranger would die, his death would result in a greater amount of happiness than the deaths of the five workmen.","A runaway trolley is heading down the tracks toward five workmen who will   be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large. The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved. Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen? ",Why?,AI,2.0,personal_moral,yes,37
37,Smother for dollars,no,"  first, it would be morally wrong to kill someone for the purpose of financial gain. second, there is no guarantee that the young man would actually receive the money if his father died before midnight. it is possible that the insurance company would refuse to pay out the policy if they found out that the young man had arranged for his father to be killed.","You are in hospital lounge waiting to visit a sick friend. A young   man sitting next to you explains that his father is very ill. The doctors believe that he has a week to live at most. He explains further that his father has a substantial life insurance policy that expires at midnight. If his father dies before midnight, this young man will receive a very large sum of money. He says that the money would mean a great deal to him and that no good will come from his father’s living a few more days. He offers you half a million dollars to go up to his father’s room and smother his father with a pillow. Is it appropriate for you to kill this man’s father in order to get money for yourself and this young man? ",Why?,AI,16.0,personal_moral,no,38
38,New Job,yes,"  the two firms and the two positions are otherwise very similar, so the deciding factor in this case is the vacation time. if you feel that two more days of vacation per year is worth the difference in salary, then it is appropriate for you to take firm B's offer.","You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ",Why?,AI,5.0,non_moral,yes,39
39,Grandson,no,  the boy's actions were dangerous and could have easily resulted in his grandmother's death. it is never appropriate to play a trick on someone that could potentially result in their death.,"A young boy is visiting his grandmother for the weekend. Usually she gives   him a gift of a few dollars when he arrives, but this time she doesn’t. He asks her why not and she says something about how he doesn’t write her as many letters as he used to. Angered by this, the boy decides to play a trick on her. While his grandmother is busy cooking he removes a handful of pills from the medicine cabinet and puts them in his grandmother’s teapot. Later that night, she makes her tea, and the dissolved pills make her sick. In the morning she is dead. Was it appropriate for this boy to put pills in his grandmother’s teapot in order to play a trick on her? ",Why?,AI,7.0,personal_moral,no,40
40,Vaccine Policy,yes," the available evidence suggests that the chances of getting the disease without being vaccinated are much higher than the chances of getting the disease by taking the vaccine. therefore, it is in the best interest of public health to encourage people to take the vaccine.","You work for the Bureau of Health, a government agency. You are deciding   whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health? ",Why?,AI,24.0,impersonal_moral,yes,41
41,Grandson,no,"  well, for one, it was dangerous and could have seriously harmed or even killed his grandmother. secondly, it was mean-spirited and childish. tricking someone - especially an elderly person - in this way is not funny, it's just cruel.","A young boy is visiting his grandmother for the weekend. Usually she gives   him a gift of a few dollars when he arrives, but this time she doesn’t. He asks her why not and she says something about how he doesn’t write her as many letters as he used to. Angered by this, the boy decides to play a trick on her. While his grandmother is busy cooking he removes a handful of pills from the medicine cabinet and puts them in his grandmother’s teapot. Later that night, she makes her tea, and the dissolved pills make her sick. In the morning she is dead. Was it appropriate for this boy to put pills in his grandmother’s teapot in order to play a trick on her? ",Why?,AI,26.0,personal_moral,no,42
46,Architect,no,"  pushing your boss off of the building would be an act of murder, which is morally wrong. additionally, it would be illegal and you could be charged with homicide.",You are a young architect visiting one of your construction sites with your   boss. Your boss is a despicable individual who makes everyone around him miserable including you. It occurs to you that if you were to push him off of the building you are inspecting he would fall to his death and everyone would think it was an accident. Is it appropriate for you to push your boss off of the building in order to get him out of your life? ,Why?,AI,6.0,personal_moral,no,47
48,Infanticide,no,"  there are a number of reasons why this would not be the right thing to do. first and foremost, it would be incredibly harmful to the baby. being born and then abandoned in a dumpster is not something any child deserves, and it could potentially lead to serious health problems or even death. additionally, it would be illegal in most jurisdictions, and you could be charged with child abuse or neglect if you were caught. furthermore, it would be unfair to the child's father (if he is known) and other family members who might want to be involved in the child's life. finally, it is simply not an ethical thing to do. abandoning a baby in a dumpster is callous and heartless, and it is not a decision that should be made lightly.","You are a fifteen year-old girl who has become pregnant. By wearing loose   clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess you’ve made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life? ",Why?,AI,1.0,personal_moral,no,49
