,Unnamed: 0,Unnamed: 0.1,title,a0,a1,q0,q1,source,sub_id,cond,val,index
0,0,0,Stock Tip,yes,"there are no victims here, although illegal i don't believe that it is that bad and would help both parties ","You are a management consultant working on a case for a large corporate  client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt?",Why?,Human,5ee3f235c53c280e4261bcc3,impersonal_moral,yes,0
2,2,2,Standard Turnips,yes,because i would be able to sell more turnips and get more money ,You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?,Why?,Human,5ca73fcf7067e70001f7a41f,non_moral,yes,2
3,3,3,Standard Trolley,no,i would be actively resposble for the death fo the 1 worker ,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",Why?,Human,5f4a5983a08b215d74d2cd99,impersonal_moral,no,3
5,5,5,Speedboat,yes,"  it is appropriate to borrow the speedboat in order to warn the tourists about the storm because it is your responsibility to take action and ensure the safety of the tourists. the tycoon's property is secondary to the safety of the tourists, and it is likely that the tycoon would be understanding of the situation and appreciate the effort taken to protect their safety.","While on vacation on a remote island, you are fishing from a seaside   dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who would not take kindly to your borrowing his property. Is it appropriate for you to borrow the speedboat in order to warn the tourists about the storm? ",Why?,AI,12.0,impersonal_moral,yes,5
6,6,6,Jogging,no,the weather is a bigger factor here rather than what my preference is of the order i'd like to do things in- it is only a small sacrifice to avoid something that will annoy me more later on,"You intend to accomplish two things this afternoon: going for a jog and  doing some paperwork. In general you prefer to get your work done before you exercise. The weather is nice at the moment, but the weather forecast says that in a couple of hours it will start to rain. You very much dislike jogging in the rain, but you don't care what the weather is like while you do paperwork. Would you do your paperwork now with the intention of jogging in a couple of hours in order to get your work done before you exercise?",Why?,Human,5e0fdde8b638537085d51b6c,non_moral,no,6
7,7,7,Footbridge,yes,because it would save the lives of the five workmen,"A runaway trolley is heading down the tracks toward five workmen who will  be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large. The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved. Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?",Why?,Human,5d6e570e8c129300166dba20,personal_moral,yes,7
8,8,8,Environmental Policy A2,no,"   because policy A has a much higher potential to cause a greater number of deaths if it does occur, it is not appropriate to vote for policy B over policy A. the risk of 1000 deaths associated with policy A is too great to justify choosing it over policy B.",You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has an 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy B over Policy A? ,Why?,AI,22.0,impersonal_moral,no,8
9,9,9,Transplant,no,because it is against the mans will,"You are a doctor. You have five patients, each of whom is  about to die due to a failing organ of some kind. You have another patient who is healthy. The only way that you can save the lives of the first five patients is to transplant five of this young man's organs (against his will) into the bodies of the other five patients. If you do this, the young man will die, but the other five patients will live. Is it appropriate for you to perform this transplant in order to save five of your patients?",Why?,Human,5d6e570e8c129300166dba20,personal_moral,no,9
10,10,10,Generic Brand,yes,i always buy generics anyway. branding is nonsense.,"You have a headache. You go to the pharmacy with the intention of  buying a particular name-brand headache medicine. When you get there you discover that the pharmacy is out of the brand you were looking for. The pharmacist, whom you've known for a long time and in whom you have a great deal of trust, tells you that he has in stock a generic product which is, in his words, ""exactly the same"" as the product you had originally intended to buy. Would you purchase the generic brand instead of searching further for the name-brand product you were looking for?",Why?,Human,60990cfc7441dc3e4c3e071a,non_moral,yes,10
11,11,11,Vaccine Policy,yes,because the chance of getting the disease without the vaccination is significantly higher ,"You work for the Bureau of Health, a government agency. You are deciding  whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health?",Why?,Human,5ca73fcf7067e70001f7a41f,impersonal_moral,yes,11
12,12,12,Sacrifice,no,you cannot take an innocents life even if it's for the greater good,"You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clan's sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?",Why?,Human,60841d3e92be890d07774975,personal_moral,no,12
13,13,13,Vitamins,no,"  it is not appropriate to forcibly remove this man’s kidney in order to save the lives of the six vitamin-deficient people because it violates the man’s right to decide what will happen to his own body. additionally, it is not clear that the man’s kidney would be a viable source of vitamins for the family in question, and even if it were, it could still come with serious health risks for the donor. it is important to consider all of the potential risks and ethical considerations before making such a drastic decision.","You are the leader of a mountaineering expedition that is stranded in the   wilderness. Your expedition includes a family of six that has a genetically caused vitamin deficiency. A few people’s kidneys contain large amounts of this vitamin. There is one such person in your party. The only way to save the lives of the six members of this family is to remove one of this man’s kidneys so that the necessary vitamins may be extracted from it. The man will not die if you do this, but his health will be compromised. The man is opposed to this plan, but you have the power to do as you see fit. Is it appropriate for you to forcibly remove this man’s kidney in order to save the lives of the six vitamin-deficient people? ",Why?,AI,3.0,personal_moral,no,13
14,14,14,Stock Tip,no,"   releasing confidential information to a friend in exchange for cancelling a debt is strictly forbidden by federal law, and could have serious legal consequences. it is important to protect the confidential information of the corporate client and to abide by the law. doing so will ensure that the client's trust is maintained, and that any potential conflict of interest is avoided.","You are a management consultant working on a case for a large corporate   client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt? ",Why?,AI,12.0,impersonal_moral,no,14
15,15,15,Standard Fumes,yes,to be able to save the three patients,"You are the late-night watchman in a hospital. Due to an accident in  the building next door, there are deadly fumes rising up through the hospital's ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?",Why?,Human,5d6e570e8c129300166dba20,impersonal_moral,yes,15
17,17,17,Coupons,yes,"it makes sense to use the coupon that is due to expire sooner. if the 25% coupon was used, the other would soon become invalid and be wasted","You have gone to a bookstore to buy $50 worth of books. You  have with you two coupons. One of these coupons gives you 30% off of your purchase price. This coupon expires tomorrow. The other coupon gives you 25% off your purchase price, and this coupon does not expire for another year. Would you use the 30%-off coupon for your present purchase so that you will have another coupon to use during the coming year?",Why?,Human,60d8f98d9d58bf54aeb8438a,non_moral,yes,17
18,18,18,Hard Times,no,because of the wider harms caused by pornography,"You are the head of a poor household in a developing country. Your  crops have failed for the second year in a row, and it appears that you have no way to feed your family. Your sons, ages eight and ten, are too young to go off to the city where there jobs, but your daughter could fare better. You know a man from your village who lives in the city and who makes sexually explicit films featuring small children such as your daughter. He tells you that in one year of working in his studio your daughter could earn enough money to keep your family fed for several growing seasons. Is it appropriate for you to employ your daughter in the child pornography industry in order to feed your family?",Why?,Human,638070625c26e262f2163254,personal_moral,no,18
19,19,19,Plane Crash,no,"i think rather than killing him we should all try and make it, if one of us dies then it would be ok to eat them, but not kill them","Your plane has crashed in the Himalayas. The only survivors are yourself, another  man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety?",Why?,Human,5c3f3ae7d831ed0001f78c4f,personal_moral,no,19
